高清频道,#genre#
CCTV13 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225812/index.m3u8
CCTV1 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225816/index.m3u8
CCTV3 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225799/index.m3u8
CCTV8 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225795/index.m3u8
CCTV9 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225676/index.m3u8
CCTV10 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225677/index.m3u8
CCTV11 [1280*720],http://39.134.66.4/PLTV/88888888/224/3221225517/index.m3u8
CCTV12 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225669/index.m3u8
CCTV15 [1280*720],http://39.134.66.4/PLTV/88888888/224/3221225513/index.m3u8
CCTV16 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225893/index.m3u8
CCTV17 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225708/index.m3u8
江苏卫视 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225503/index.m3u8
湖南卫视 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225506/index.m3u8
浙江卫视 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225514/index.m3u8
黑龙江卫视 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225847/index.m3u8
湖南卫视 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225890/index.m3u8
东方卫视 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225942/index.m3u8
安徽卫视 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225851/index.m3u8
东南卫视 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225863/index.m3u8
黑龙江少儿 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225870/index.m3u8
金牌综艺 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225525/index.m3u8
精品大剧 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225536/index.m3u8
潮妈辣婆 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225542/index.m3u8
精品记录 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225545/index.m3u8
农业致富 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225552/index.m3u8
哒啵赛事 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225559/index.m3u8
军旅剧场 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225560/index.m3u8
中国功夫 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225604/index.m3u8
超级电视剧 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225637/index.m3u8
超级综艺 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225642/index.m3u8
超级d影 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225644/index.m3u8
动画影片 [1920*1080],http://39.134.66.4/PLTV/88888888/224/3221225550/index.m3u8
